ID;Descrição;Preço em R$
120;HD Western Digital Purple Surveillance 1TB, 3.5'' - Wd11purz;364,56
121;HD Seagate 2TB Servidor Exos 7E10, 7200 RPM, 256MB, 512N, 3.5, SATA, 6GB/s - ST2000NM000B;1.065,16
122;HD Seagate, 1TB, Interno SkyHawk, Para Vigilância - ST1000VX005;350,74
123;Adaptador Caddy Para HD Ou SSD, Gaveta DVD Notebook - AC-95;17,00
124;HD Seagate 2TB Barracuda, 3.5, SATA III, Para Desktop - ST2000DM008;444,60
125;HD Externo Toshiba 4TB, Canvio Basics, Preto HDTB540XK3CA;690,00
126;HD Interno 3,5 Polegadas, 12Tb Western Digital  Red Nas Ware - Wd120efbx;2.673,00
127;HD Externo Portátil  Seagate, 320 Gigas;197,00
128;Hd Externo Seagate, 6TB, One Touch, USB 3.0, Backup, 3.5 Polegadas - Stlc6000400;1.284,24
129;Case Para HD Knup Externo, Para PC, SATA 3.5, USB 3.0, Preto - KP-HD004;134,00
130;HD Western Digital Red Plus, 2TB, NAS, Para Servidor, 3.5p - Wd20efpx;628,38
131;Case Para HD FY Externo, SATA 2.5, USB 2.0;24,90
132;HD Externo Seagate 16TB Desktop Expansion, 7200 RPM, USB 3.0 - STKP16000400;2.359,07
133;Storage Nas Asustor Lockerstor 4 Gen2 As6704t Intel Celeron N5105 Quad-core 2.0ghz 4GB So-dimm Ddr4 4 Baias 80TB Torre;5.326,11
134;HD Seagate 16TB Skyhawk Ai Surveillance, 235MBs, 3.5;3.199,00
135;Case Adaptador Universal 9.5mm, Segundo HD, SSD, Sata No Notebook - Caddy;29,60
136;HD Seagate 18TB Exos Enterprise, 7200 RPM, SATA, 6GB/s, Para Servidor - ST18000NM000J;2.999,00
137;HD Seagate 14TB Servidor Exos X18, SAS, 7200 RPM, 256MB, 512E 4KN, 3.5, 12GB/s - ST14000NM004J;3.567,39
138;Case Gaveta HD  FY, SATA, Externo 2.5, Para Notebook, USB 2.0;26,20
139;HD Seagate 2TB Exos Servidor 7E10, SAS, 7200 RPM, 256MB, 6GB/s, 512E 4KN - ST2000NM001B;928,05
140;HD Western Digital 8TB Interno Purple, Roxo - WD84PURZ;1.699,00
141;HD Seagate 10TB Skyhawk AI Surveillance Desktop, 7200 RPM, 256MB, 3.5, SATA 6 - ST10000VE001;2.243,12
142;HD Western Digital 2TB Purple Surveillance, 3.5 Pol, 64MB - Wd23purz;482,90
143;HD Nas WD 6TB, Red Plus Sata, 6GBPS, 5640RPM, 256MB, 3.5 Polegadas, Western Digital - Wd60efpx;981,40
144;HD WD Externo Portátil My Passport, 2TB, USB 3.2, Azul - WDBYVG0020BBL-WESN;499,99
145;Case Para HD Orico, SATA 3.5, USB 3.0, Com LED Indicador, Preto - 7688U3;237,38
146;Hd Seagate Ironwolf Pro 16tb Nas Sata6, 7200rpm, 256mb - ST16000NT001;2.588,28
147;HD Western Digital 10TB Red Plus, 3.5 - WD101EFBXI;1.760,72
148;HD Seagate 6TB Exos 7E8, 7200 RPM, 256MB, 3.5, SATA 3 - ST6000NM002A;1.487,07
149;HD Externo WD Elements Desktop 10TB, Conexão USB 2.0/3.0 - WDBWLG0100HBK-NESN;1.699,99
150;HD Seagate 20TB Skyhawk AI, 7200 RPM, SATA - ST20000VE002;5.993,99
151;Adaptador Gaveta Rack Hd 3.5 Sata Baia Frontal, 1106ss-v1, Preto;200,51
152;HD Toshiba 500GB, Sata Ill 7200rpm 2.5 Polegadas;161,99
153;HD Seagate 10TB Exos X18, 7200 RPM, 256MB, 3.5, SATA 3 - ST10000NM018G;2.139,35
154;HD Seagate 2TB Barracuda, 7200 RPM, SATA III - ST2000DM008;650,10
155;HD Seagate Ironwolf Pro, 12TB, NAS, 7200RPM, 256MB, 3.5 Pol, SATA 6 - ST12000NT001;2.104,50
156;Storage WD NAS My Cloud Home, 4TB, 1 Baia - WDBVXC0040HWT-NESN;1.199,99
157;HD Externo Seagate FireCuda Gaming, 2TB, LED RGB, USB, Preto - STKL2000400;649,99
158;HD Seagate 12TB Exos X16, 7.200 RPM, 256MB, 3.5 , SATA - ST12000NM001G;2.319,90
159;HD Seagate 1TB Barracuda, Cachê 64 MB, 3.5, SATA, 6GB/s - ST1000DM010;488,41
160;"Gaveta Case Pra HD Externo 2.5"", USB 2.0 Ch-200gy Cinza - C3tech";47,90
161;HD Externo Portátil Seagate 5TB Expansion, 3.0, MAC E PC, USB - STKM5000400;969,00
162;HD Externo 1TB Toshiba Canvio Basics, USB 3.0 - Hdtb510xk3aa;332,41
163;HD Seagate 16TB Skyhawk AI Hélio, 7200 RPM, 256MB, 3.5, SATA 3 - ST16000VE002;2.761,20
164;HD Externo Lacie 2tb Rugged, Mini USB-c;936,74
165;HD Seagate 1.2TB Servidor Exos 10E2400, SAS, 10000 RPM, 256MB, 2,5, 12GB/s, 512E, 4KN - ST1200MM0129;2.140,77
166;HD Externo Seagate 4TB One Touch, 2.5p, HUB, USB 3.0 - STLC4000400;951,30
167;Storage Asustor 1GB Drivestor 4, NAS, 4 Baias, USB 3.2 - AS1104T;2.710,20
168;Adaptador Type C, Para HD e SSD, SATA 2.5, Orico - 20UTS-C3 - Preto;88,15
169;Disco Rigido Interno Netac, 960GB,SSD 3d Nand Sata3 6gbs 2.5 Polegadas;395,21
170;HD Seagate 12TB IronWolf, NAS, 7200 RPM, Cachê 256MB, SATA 3 - ST12000VN0008;2.099,00
171;Hd Para Pc Western Digital Wd Red Plus, 14TB, 7200rpm, 512MB/s, Nas Sata 3 - Wd140efgx 5475;2.354,67
172;HD Seagate 10TB Exos, 7200 RPM, 256MB, 3.5, SATA 3 - ST10000NM001G;3.708,45
173;HD Hitachi 3TB Servidor ES, SAS, 7200 RPM, Cachê 64MB, 7.2K - 0B26311;538,90
174;Case para HD Externo 2,5 C3Tech, SATA, USB-C 3.0, Preto - CH-C300BK;74,99
175;HD Seagate 8TB Servidor Exos, 7.2K RPM - ST8000NM000A;1.940,00
176;HD Seagate 4TB SkyHawk, 5900 RPM, 3.5, SATA - ST4000VX007;1.118,16
177;HD Interno Seagate 8TB Barracuda - ST8000DM004;1.211,31
178;Storage Synology RS4021XS+ Rackstation, NAS 3.5, Intel Xeon D-1541, 16GB DDR4, ECC, UDIMM, 16 Baias, Sem HD;56.729,16
179;HD Externo Seagate Expansion 1TB Preto – STEA1000400;473,31
180;HD Externo Portátil ADATA 2TB, Azul - AHD710P-2TU31-CBL;579,98
181;Case USB-C 3.0 Transparente Para HD Sata, SSD 2.5;46,90
182;Case De Proteção Orico Para HD 3.5, Preto - PHF-35;139,60
183;Cabo Adaptador Sata Iii Para Usb A 3.0 50cm -;70,68
184;HD Seagate 2TB Barracuda SE301, 3.5, Para Desktop - ST2000DM008;492,35
185;HD 16TB 256mb 7200rpm 3.5'', Exos X18 Nas St16000nm000j, Seagate;3.399,00
186;HD Seagate 4TB Exos Enterprise, 7200 RPM, 256MB, 3.5, SATA 3, 7E10, 512N - ST4000NM001B;1.393,93
187;HD Toshiba 1TB L200, 5400RPM, 128MB, 2.5p, SATA 3, Para Notebook;269,09
188;Synology Rail Kit Sliding Rks-02;1.178,84
189;Storage Asustor 4GB, NAS, Quad Core J4105, DDR4, 4 Baias, Hot-swap - AS5304T;4.421,61
190;HD Blue 500GB, Western Digital;261,84
191;Storage Qnap 4GB, NAS, 3.5, SATA, AMD Ryzen Embedded V1500B, 2.2 Ghz, SODIMM DDR4, 8 Baias, 6 e 3 GB/s - TS-873AEU-4G-US;11.406,12
192;HD Seagate 8TB Exos Servidor 7E10, SAS, 7200 RPM, 256MB, 3.5, 12GB/s, 512E, 4KN, SED - ST8000NM020B;1.890,60
193;Case Hd Externo Tipo C Sata 2.5 Usb 3.0 3tb Transparente;49,90
194;HD Interno Seagate Exos X18, 16TB, Para Servidor, 7200RPM, 256MB, SATA 6GB/s - St16000nm000j;2.519,10
195;SSD Externo Portátil, Sandisk, 480GB HD, USB Tipo A, USB Tipo C, Leitura: 520MB/s, Preto - SDSSDE30-480G-G25;533,93
196;HD Seagate Barracuda, 2TB, Sata3, 7200 Rpm - St2000dm008;489,50
197;HD Externo 1TB Adata À Prova dágua;570,51
198;Case Orico Protetora Para HD / SSD 3.5, Cinza - PHX35-V1;27,51
199;Capa Case Orico PHM-25 Protetora Para HD/SSD 2.5 Polegadas, Preto;35,00
200;HD Seagate 6TB Interno SkyHawk Surveillance, 5400 RPM, 256MB, 3.5, SATA 6 - ST6000VX001;1.140,62
201;SSD Kingston, 480GB, Sa400s37/480g, Sata3;246,90
202;HD Seagate 2TB IronWolf, NAS, 3.5, SATA - ST2000VN004;729,90
203;HD Western Digital Interno 160GB Sata Ii;55,66
204;Case Caddy F3 P/ Notebook Sata, 12,7mm;20,40
205;HD Seagate 8TB SkyHawk, 7200 RPM, 256MB, 3.5, SATA 3 - ST8000VE001;2.141,99
206;Hd Desk Sata3 1TB Seagate 3.5, 5900RPM, Slim - St1000vm002;225,00
207;Storage Nas Asustor Lockerstor 6 Gen2 As6706t Intel Celeron N5105 Quad-core 2.0ghz 8GB So-dimm Ddr4 6 Baias 120TB Torre;6.326,01
208;HD Externo Portátil ADATA 1TB HC660 Ultra Slim, USB 3.2, Cinza - AHC660-1TU31-CGY;333,87
209;Dock Station Ugreen, SATA HDD/SSD 2.5/3.5, USB 3.0 - Função Clone Off-line;398,90
210;Hd Western Digital Interno 160GB, Sata Ii;61,84
211;HD Interno Seagate 12TB Skyhawk AI, 7200 RPM, 256 MB, 3.5 - ST12000VE0008;2.633,07
212;Dock Station Orico 10GBPS, SATA 2.5 e 3.5, 2 Entradas USB 3.2, GEN2, Função Clone Off-line;649,90
213;Case Para HD Dex, SATA 2.5, USB 3.0, Transparente, Para PC;46,90
214;Adaptador Caddy F3, Para Segundo HD, SSD Para Apple Mac, Drive 9.5mm;39,90
215;Case Para HD Orico, SATA 2.5, Tipo-C, Preto - 2539C3-G2;196,80
216;HD Interno Seagate Pipeline, 500GB - St50312cs;189,91
217;HD Desktop Seagate Ironwolf Pro 18tb Nas Sata6 7200rpm, 256mb - ST18000NT001;3.210,27
218;Case Fy Hd Externo, Notebook, Adaptador SSD , Gaveta, Capa (tipo C);53,30
219;Dissipador De Calor Orico, Com Cooler Para SSD M.2 NVME/NGFF, Prata - M2HS8-FAN;243,26
220;Case Para HD Exbom Externo, SATA 2.5, USB 3.0, Transparente, Slim - ECASE-300;44,90
221;HD Western Digital 6TB Red Desktop, NAS, 5400 RPM, Cachê 64MB, 3.5, SATA 6 - WD60EFAX-68JH4N1;1.430,99
222;HD Externo Portatil Adata 1TB Hd330 Anti-queda Azul - AHD330-1tu31-cbl;330,14
223;HD Externo Seagate 2TB Backup Plus Slim, 2.5, USB 3.0, Prata;506,76
224;HD Hp Sas, 300GB, Eg0300fcvbf, 2,5, 10k, St300mm0006, 652564-b21, 652564-s21, 653955-001, 693569-005;1.580,00
225;HD Externo Portátil ADATA 1TB HV620S, USB 3.2 - AHV620S-1TU31-CBK;395,01
226;HD Dell, 300GB, Sas, 3.5 15k.7 Pn F617n, 0f617n, St3300657ss;680,80
227;HD Seagate 18TB Servidor Exos X18, 7200 RPM, 256MB, SATA, 6GBs, 512E, 4KN - ST18000NM001J;3.016,37
228;Docking Station Wavlink Wl-st334ua Duplo 2.5'' & 3.5'', Clona Hdd E SSD, USB 3.0 E USB C;404,50
229;HD Externo Toshiba 2TB Canvio Basics, Preto - Hdtb520xk3aai;585,76
230;HD WD 4TB, Blue Sata, 5400RPM, 256MB, 3.5 Polegadas, Desktop - Wd40ezaz;614,36
231;HD Externo Portátil Seagate 4TB Basic, USB 3.0 - STJL4000400;730,15
232;Case Para Hd Sata 2.5 F3 - Usb 3.0 - Transparente - Cs-u3t;34,00
233;"Case Gaveta Hd Sata 2.5"" P/ Notebook USB 2.0 - CS-U2";23,93
234;Kit Trilhos Nas Qnap Rail-b02;684,81
235;Ugreen Case Estojo Bag Eva Para Hd Ssd Externo 2.5 Small;70,11
236;HD Toshiba, 600GB, Sas 2,5, 15k  - Al13sxb600n;849,16
237;HD Seagate 1TB Seagate SkyHawk, Cachê 64MB, 3.5, SATA, 6.0GB/s, IMP - ST1000VX005;409,00
238;HD Toshiba N300, 6TB, 7200 RPM, NAS, 3.5, SATA - HDWG460XZSTA;939,99
239;Case Para HD C3 Tech, 2.5, USB 2.0, Vermelho - CH-200-RD;30,41
240;Hdd Externo Portatil Adata 1TB AHD710 Pro Camuflado - AHD710mp-1tu31-ccf;330,14
241;HD Seagate 10TB, USB 3.0, Preto - STEL10000400;2.149,90
242;HD Externo Portátil Seagate 4TB Expansion, USB 3.0;1.029,35
243;HD Seagate 4TB Servidor Exos 7E10, SAS, 7200 RPM, 256MB, 3.5, 12GB/S, 512E , 4KN - ST4000NM025B;1.403,28
244;HD Seagate 4TB SkyHawk Surveillance, 5900 RPM, Cachê 64MB, 3.5, SATA III;1.127,64
245;HD Interno Western Digital 4TB Purple, 5400 RPM, SATA III, 6GB/s - WD40PURZ;936,22
246;Hd Seagate Ironwolf 1tb Nas Sata6, 5400rpm 256mb - ST1000VN008;476,07
247;Case para HD Knup, Para Notebook, 2.5, USB 2.0 - KP-HD001;38,94
248;"Case Exbom Cghd-10 HD 2.5""";27,46
249;HD WD Blue, 1TB, 2.5´, Notebook, SATA - WD10SPZX;372,01
250;Hd Externo Portátil Seagate Expansion, 1TB, Usb 3.0, Preto - Stkm1000400;560,50
251;Storage Qnap 8GB, NAS, AMD Ryzen Embedded V1500B, 2.2Ghz, SODIMM DDR4, Torre 8x Baias, Sem HD - TS-873A-8G-US;8.182,71
252;Storage Nas Asustor Lockerstor 12rd As6512rd Intel Atom C3538 Quad-core 2.1ghz 8GB So-dimm Ddr4 12 Baias Torre;14.318,91
253;HD Lenovo 2.4TB ISG, SAS, 12G, 10K, SFF, G7 - 7XB7A00069;3.331,92
254;Case / Gaveta Para Hd Sata 2.5 Orico - 2139u3 - Transparente;89,30
255;Memoria Corsair Dominator Platinum, 32GB(2x16GB), DDR5, 6200, RGB - (cmt32gx5m2x6200c36);1.797,98
256;Memória Para Notebook Keepdata 4GB, DDR4, 2400mhz - Kd24s17/4g;120,55
257;Storage Synology Servidor Diskstation DS220+, NAS, Com 2 Baias;3.899,00
258;HD Lenovo 1.2TB ISG, SAS, 12G, 10K, SFF, G7- 7XB7A00027;1.775,34
259;Storage Synology 4GB DDR4 DS1621XS+, NAS, Xeon Quad Core 2.2Ghz, 6 Baias, Até 108TB, Sem Disco;16.130,70
260;HD Externo Portátil Seagate 1TB Expansion, 5400 RPM, 2.5, USB 3.0;503,91
261;Case Externo Para HD Vinik, 2.5, USB 3.0, Acrilico - CH250AA;32,90
262;Case Gaveta Externa Para Hd Mymax, 3.5, Para Computador, SATA USB 3.0 - MENC-X3521-BK;150,53
263;HD Externo Toshiba 1TB, Canvio Basics USB3.0 Portatil - HDTB410XK3AA;454,41
264;Case Para Hd 2.5 Usb 3.0;52,90
265;Storage Synology NAS DiskStation, 3.1GHz, 8GB, DDR4, Torre, 5 Baias - DS1522+;6.599,99
266;HD Seagate 14TB Servidor Exos X18, 7200 RPM, 256MB, 3.5, SATA, 6GB/s, 512E, 4KN - ST14000NM001J;2.597,52
267;HD Servidor Wd Gold 1Tb, 7200rpm 128mb, Sata 6Gb/s 3.5” Western Digital - Wd1005fbyz;664,34
268;HD Seagate 6TB Barracuda, 5400 RPM, 256MB, 3.5, SATA - ST6000DM003;981,56
269;Adaptador Caddy Para HD Ou SSD, Gaveta, DVD Notebook - AC-127;27,76
270;HD Externo Western Digital 4TB My Passport, 2.5, USB 3.0, Vermelho - WDBPKJ0040BRD-WESN;788,15
271;Case SSD HD Vinik Externo, 2.5pol, USB 2.0  - Cp25-20;34,74
