ID;Descrição;Preço em R$
119;Placa-Mãe Gigabyte Z390 M Gaming, Intel, mATX, DDR4, HDMI e DVI-D, USB 3.0, Box;2.312,99
120;Placa Mae H110 Ex-b150m-v3 Asus 1151 O&m So Dvi, C/ Adap, P/ HDMI, Sem M2;359,00
121;Placa Mãe Gigabyte H510m H, Intel, LGA 1200, mATX, DDR4, Chipset H510;506,69
122;Placa Mãe Gigabyte Z790m Aorus Elite, Intel 13a E 12a Geração, DDR5, LGA1700, USB Type-C, Pci-e 5.0;2.617,90
123;Placa-Mãe AsRock, Intel Dual-Core J4005 - J4005DC-ITX;380,28
124;Kit Placa Mãe H110 + Processador I7 7700 + Memória 8GB DDR4 + Cooler + M.2 256GB - Powerpc;1.451,13
125;Placa-Mãe Gigabyte B450M DS3H V2, AMD AM4, mATX, DDR4, HDMI;690,12
126;Placa-Mãe PCWare, Intel LGA 1200, mATX, DDR4 - IPMH510G;579,90
127;Placa Mãe Duex Dx H510 Pro, Intel 10ª/11ª Geração, LGA1200, DDR4, Micro ATX;541,80
128;Placa Mãe Msi Pro B550m-p Gen3 AM4, DDR4;743,70
129;Placa-Mãe PCWare, Intel 1151, mATX, DDR4, VGA, HDMI - IPMH310G;343,83
130;Placa Mãe Gigabyte Z790 Aorus Elite Ax Ice, rev 1.0,  DDR5, ATX, LGA1700;3.388,90
131;Placa Mãe Duex Dx H61s, Intel 2ª/3ª Geração, Lga1155, DDR3;234,90
132;Placa Mãe Placa Mãe H410m-ac, Asrock Atx, Lga1200-sockel - 90-mxbdt0-a0uayz;722,58
133;Placa-Mãe Biostar, Intel 1200 B560, 2xDDR4, HDMI e VGA, 11ª Geração - B560MHP;593,10
134;Placa-Mãe BRX, Intel LGA 1150 H81, DDR3, VGA, HDMI;239,90
135;Placa Mãe X Gaming, LGA 1155 B75 DDR3, HDMI E VGA I3, I5 E I7;272,91
136;Placa-Mãe Brazil PC, Intel H61 - BPC-H61C-V2.3;289,49
137;Placa-Mãe Oxy BR H310, Intel LGA 1151, DDR4;480,60
