ID;Descrição;Preço em R$
238;Water Cooler ASUS Tuf Gaming LC, 120mm, ARGB, AMD e Intel, para PC, Preto - 90RC00H1-M0UAY1;379,99
239;Cooler Fan Corsair iCUE SP140 Elite Performance, 2 Unidades, 140mm, RGB, Preto - CO-9050111-WW;239,99
240;Cooler Gamer para Notebook Multi AC268;29,90
241;Cooler Fan Noctua Redux-1300, 120mm, Cinza - NF-P12 redux-1300;119,99
242;Water cooler Mymax, 240mm, RGB Fryser,  AMD E Intel;254,06
243;Kit Cooler FAN com 5 Unidades T-Dagger, RGB - T-TGF515;172,00
244;Water Cooler Corsair H100x RGB Elite, RGB, 240mm, AMD e Intel, Preto - CW-9060065-WW2;649,99
245;Cooler Fan, Cooler Master Mf120 Halo V2, ARGB, White, 120mm;120,75
246;Cooler Fan Noctua 40mm, Marrom - NF-A4x20 PWM;109,99
247;Cooler Para Processador Redragon TYR, LED Rainbown, Intel e AMD, 120mm, PWM, FAN, 4 Heat Pipes, TDP 130W - CC-9104;113,88
248;Cooler FAN T-Dagger, 120mm, LED, Azul - T-TGF200-B;13,09
249;Water Cooler Corsair iCUE H115i Elite Capellix XT, RGB, 140mm, Intel e AMD, Preto - CW-9060069-WW;1.099,99
250;Cooler Fan Noctua Redux Edition, 80mm, Cinza - NF-R8 redux-1800 PWM;119,99
251;Cooler FAN Corsair Serie Air AF140, 140mm, LED Pack, Vermelho - CO-9050086-WW;81,81
252;Water Cooler Corsair iCUE LINK H170i RGB, 420mm, AMD e Intel, Preto - CW-9061004-WW;2.199,99
253;Cooler Para Processador Mymax Universal, LED Azul, Intel e AMD;36,96
254;Cooler Fan C3Tech Storm, LED RGB, 12mm - F11-L220rgb;17,54
255;Cooler FAN Hayom, 120mm, Vermelho - FC1300;15,56
256;Cooler FAN C3Tech Storm, 120mm, LED, Azul - F7-L130BL;17,92
257;Cooler Swafan 12 RGB, Radiator Fan Tt, Premium Edition 3 Pack - Cl-f137-pl12sw-a;996,74
258;Water Cooler Cooler Master Masterliquid ML360R, RGB, 360mm, Preto - MLX-D36M-A20PC-R1;799,99
259;Cooler FAN DeepCool RF120R, 120mm, LED - DP-FLED-RF120-RD;22,95
260;Water Cooler Corsair iCUE H100i Elite Capellix, RGB, 240mm, Branco - CW-9060050-WW;1.249,99
261;Cooler FAN DeepCool RF120FS, 120mm, LED Rainbow - DP-FLED3-RF120-FS;85,90
262;Cooler FAN EOX OC120, 120mm, RGB LED Raibow, 3/4pin;23,00
263;Cooler FAN Cooler Master Sickleflow, 120mm, RGB - MFX-B2DN-18NPC-R1;80,77
264;Water Cooler Asus ROG RYUO III 360, ARGB, 360mm, AMD e Intel, para PC - 90RC00I1-M0UAY0;1.699,99
265;Water Cooler K-mex Wac6, 240mm, 2 Coolers, Preto Intel, AMD, Led Multicolor;234,19
266;Controladora Alloyseed RGB, 12v, 4 Pinos, Alimentação Molex, Com Controle Remoto;68,70
267;Kit Cooler FAN 6 T-dagger para Gabinete, 120mm, RGB LED, Preto - t-tgf610;199,00
268;Cooler Fan Noctua 120mm, Marrom - NF-A12x25 PWM;259,99
269;Cooler Fan Noctua Redux Edition, 80mm, Cinza - NF-R8 redux-1800;119,99
