ID;Descrição;Preço em R$
76;Processador AMD Ryzen 9 7900X, 5.6GHz, Cache 76MB, AM5, Radeon Graphics Com Ví­deo - 100-100000589WOF;2.930,10
77;Processador Intel Core i9-13900KS, 6.0GHz Max Turbo, Cache 36MB, 24 Núcleos, 32 Threads, LGA 1700, Vídeo Integrado - BX8071513900KS;3.999,99
78;Processador Intel Core I5-11400 11ª Geração, 2.6GHz (4.4GHz Turbo), Cache 12MB, LGA 1200 - BX8070811400;845,35
79;Processador Intel Core i9-12900KS, 3.4GHz (5.5GHz Max Turbo), Cache 30MB, LGA 1700, Vídeo Integrado - BX8071512900KS;2.498,99
80;Processador AMD Ryzen 3 4100, 4.0GHz, Cache 6MB, AM4, Wraith Stealth, Sem Ví­deo Integrado - 100-100000510BOX;475,55
81;Processador Intel Core I5-10400, 2.9GHz, Cache 12MB, LGA 1200 - BX8070110400;912,53
82;Processador Intel Core i7-11700K 11ª Geração, 3.6 GHz (4.9GHz Turbo), Cache 16MB, Octa Core, LGA 1200, Vídeo Integrado - BX8070811700K;1.838,99
83;Processador Intel Core I9 14900kf, 14ª Geração, 3.6 Ghz (6.0ghz Turbo), Cache 36MB, LGA 1700 - BX8071514900KF;3.789,90
84;Processador AMD Ryzen 9 7950x3d Am5 4.2ghz,5.7ghz Max Turbo, 144mb Com Vídeo S/ Cooler - 100-100000908WOF;4.799,00
85;Processador Intel Core i9-13900F, 5.6GHz Max Turbo, Cache 36MB, 24 Núcleos, 32 Threads, LGA 1700 - BX8071513900F;3.498,99
86;Processador Intel Core I7-10700F 10ª Geração, 2.9GHz (4.8GHz Turbo), Cache 16MB, LGA 1200 - BX8070110700F;2.444,99
87;Processador Intel Core I5-4570 4ª Geração, 3.20GHz, Smart Cache 6MB, Quad Core, LGA 1150, OEM;161,05
88;Processador Intel 11700F Core I7 11ª Geração, 2.50GHz, Box - BX8070811700F;2.060,99
89;Processador AMD Ryzen 5 8500G, 3.5 GHz (5.0GHz Max Turbo), Cachê 6MB, 6 Núcleos, 12 Threads, AM5, Vídeo Integrado - 100-100000931BOX;1.146,99
90;Processador Intel Core i5-10600KF, 4.1GHz, Cache 12MB, LGA 1200 - BX8070110600KF;948,99
91;Processador AMD Athlon 3000g AM4, 2 Núcleos, 4 Threads, 3.5GHZ, 5MB Cache - Yd3000c6fhsbx;291,50
92;Processador Intel Core i9-11900K 11ª Geração, 3.5 GHz (5.1GHz Turbo), Cache 16MB, Octa Core, LGA1200, Vídeo Integrado - BX8070811900K;2.199,99
93;Processador Intel Core I5-3570, 3.40GHz, LGA 1155, OEM;157,51
94;Processador Intel Core i5-10600K, 4.1GHz (4.8GHz Max Turbo), Cache 12MB, LGA 1200 - BX8070110600K;1.158,99
95;Processador Intel Core I5-10400, 2.90GHz (4.3GHz Turbo), Hexa Core, Cache 12MB, LGA 1200 - BX8070110400;794,27
96;Processador AMD Ryzen 5 7600, 3.8GHz (5.1GHz Turbo), Cache 32MB, Hexa Core, 12 Threads, AM5, Wraith Stealth - 100-100001015BOX;1.486,56
97;Processador Intel Core I7 14700kF 14 Geração, 3.4 Ghz (5.6GHZ Turbo), 33MB, Cache, LGA1700 - Bx8071514700kf;2.880,03
98;Processador Intel G7400 Pentium Gold, 3.70GHz, Cache 6MB, 4 Threads, 1700, Box - BX80715G7400;627,35
99;Processador Intel Core I3 4130 4ª Geração, 3.40GHz, Cache 3MB, Dual Core, 4 Threads, LGA 1150, OEM;47,85
100;Processador AMD Athlon 3000G, 3.5GHz, Cache 5MB, Dual Core, 4 Thread, AM4, Radeon VEGA 3 - YD3000C6FBBOX;349,90
101;Processador Intel Core i5-11400 11ª Geração, 2.6 GHz (4.4GHz Turbo), Cache 12MB, 6 Núcleos, LGA1200, Vídeo Integrado - BX8070811400;868,99
102;Processador AMD FX-8300, 4.2GHz, Cache 8MB, Octa Core, 8 Threads, AM3+, OEM;302,40
103;Processador AMD Ryzen 7 7700X, 5.4GHz, Cache 40MB, AM5, Radeon Graphics Com Vídeo - 100-100000591WOF;2.202,21
